0.0000,1.0000,0.0000
0.0000,0.9999,0.0001
0.0000,0.9997,0.0003
0.0000,0.9990,0.0010
0.0000,0.9980,0.0020
0.0000,0.9960,0.0040
0.0000,0.9900,0.0100
0.0000,0.9800,0.0200
0.0000,0.9700,0.0300
0.0000,0.9600,0.0400
0.0000,0.9400,0.0600
0.0000,0.9200,0.0800
0.0000,0.9000,0.1000
0.1000,0.9000,0.0000
0.1000,0.8999,0.0001
0.1000,0.8997,0.0003
0.1000,0.8990,0.0010
0.1000,0.8980,0.0020
0.1000,0.8960,0.0040
0.1000,0.8900,0.0100
0.1000,0.8800,0.0200
0.1000,0.8700,0.0300
0.1000,0.8600,0.0400
0.1000,0.8400,0.0600
0.1000,0.8200,0.0800
0.1000,0.8000,0.1000
0.2000,0.8000,0.0000
0.2000,0.7999,0.0001
0.2000,0.7997,0.0003
0.2000,0.7990,0.0010
0.2000,0.7980,0.0020
0.2000,0.7960,0.0040
0.2000,0.7900,0.0100
0.2000,0.7800,0.0200
0.2000,0.7700,0.0300
0.2000,0.7600,0.0400
0.2000,0.7400,0.0600
0.2000,0.7200,0.0800
0.2000,0.7000,0.1000
0.3500,0.6500,0.0000
0.3500,0.6499,0.0001
0.3500,0.6497,0.0003
0.3500,0.6490,0.0010
0.3500,0.6480,0.0020
0.3500,0.6460,0.0040
0.3500,0.6400,0.0100
0.3500,0.6300,0.0200
0.3500,0.6200,0.0300
0.3500,0.6100,0.0400
0.3500,0.5900,0.0600
0.3500,0.5700,0.0800
0.3500,0.5500,0.1000
0.5000,0.5000,0.0000
0.5000,0.4999,0.0001
0.5000,0.4997,0.0003
0.5000,0.4990,0.0010
0.5000,0.4980,0.0020
0.5000,0.4960,0.0040
0.5000,0.4900,0.0100
0.5000,0.4800,0.0200
0.5000,0.4700,0.0300
0.5000,0.4600,0.0400
0.5000,0.4400,0.0600
0.5000,0.4200,0.0800
0.5000,0.4000,0.1000
0.7000,0.3000,0.0000
0.7000,0.2999,0.0001
0.7000,0.2997,0.0003
0.7000,0.2990,0.0010
0.7000,0.2980,0.0020
0.7000,0.2960,0.0040
0.7000,0.2900,0.0100
0.7000,0.2800,0.0200
0.7000,0.2700,0.0300
0.7000,0.2600,0.0400
0.7000,0.2400,0.0600
0.7000,0.2200,0.0800
0.7000,0.2000,0.1000
0.8000,0.2000,0.0000
0.8000,0.1999,0.0001
0.8000,0.1997,0.0003
0.8000,0.1990,0.0010
0.8000,0.1980,0.0020
0.8000,0.1960,0.0040
0.8000,0.1900,0.0100
0.8000,0.1800,0.0200
0.8000,0.1700,0.0300
0.8000,0.1600,0.0400
0.8000,0.1400,0.0600
0.8000,0.1200,0.0800
0.8000,0.1000,0.1000
0.9000,0.1000,0.0000
0.9000,0.0999,0.0001
0.9000,0.0997,0.0003
0.9000,0.0990,0.0010
0.9000,0.0980,0.0020
0.9000,0.0960,0.0040
0.9000,0.0900,0.0100
0.9000,0.0800,0.0200
0.9000,0.0700,0.0300
0.9000,0.0600,0.0400
0.9000,0.0400,0.0600
0.9000,0.0200,0.0800
0.9000,0.0000,0.1000
0.9500,0.0500,0.0000
0.9500,0.0499,0.0001
0.9500,0.0497,0.0003
0.9500,0.0490,0.0010
0.9500,0.0480,0.0020
0.9500,0.0460,0.0040
0.9500,0.0400,0.0100
0.9500,0.0300,0.0200
0.9500,0.0200,0.0300
0.9500,0.0100,0.0400
1.0000,0.0000,0.0000
0.9999,0.0000,0.0001
0.9997,0.0000,0.0003
0.9990,0.0000,0.0010
0.9980,0.0000,0.0020
0.9960,0.0000,0.0040
0.9900,0.0000,0.0100
0.9800,0.0000,0.0200
0.9700,0.0000,0.0300
0.9600,0.0000,0.0400
0.9400,0.0000,0.0600
0.9200,0.0000,0.0800
